work_year,job_title,job_category,salary_currency,salary,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
2022,Data Analyst,Data Analysis,USD,112900,112900,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,90320,90320,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,165400,165400,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,132320,132320,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,243900,243900,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,156600,156600,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,136600,136600,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,109280,109280,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,128875,128875,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,93700,93700,Senior,Full-time,Remote,United States,M
2022,Head of Data Science,Data Science and Research,USD,224000,224000,Executive,Full-time,Remote,United States,M
2022,Head of Data Science,Data Science and Research,USD,167875,167875,Executive,Full-time,Remote,United States,M
2022,Analytics Engineer,Leadership and Management,USD,175000,175000,Executive,Full-time,Remote,United States,M
2022,Analytics Engineer,Leadership and Management,USD,135000,135000,Executive,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,209100,209100,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,154600,154600,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,180000,180000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,160000,160000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,205300,205300,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,140400,140400,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,176000,176000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,144000,144000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,200100,200100,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,160000,160000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,70500,70500,Senior,Full-time,In-person,United States,M
2022,Data Engineer,Data Engineering,USD,54000,54000,Senior,Full-time,In-person,United States,M
2022,Data Scientist,Data Science and Research,USD,205300,205300,Senior,Full-time,In-person,United States,M
2022,Data Scientist,Data Science and Research,USD,140400,140400,Senior,Full-time,In-person,United States,M
2022,Analytics Engineer,Leadership and Management,USD,205300,205300,Senior,Full-time,In-person,United States,M
2022,Analytics Engineer,Leadership and Management,USD,184700,184700,Senior,Full-time,In-person,United States,M
2022,Data Engineer,Data Engineering,USD,175100,175100,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,140250,140250,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,116150,116150,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,99050,99050,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,145000,145000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,130000,130000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,112900,112900,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,90320,90320,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,85000,85000,Mid-level,Full-time,In-person,Canada,M
2022,Data Analyst,Data Analysis,USD,75000,75000,Mid-level,Full-time,In-person,Canada,M
2022,Machine Learning Engineer,Machine Learning and AI,USD,214000,214000,Senior,Full-time,Remote,United States,M
2022,Machine Learning Engineer,Machine Learning and AI,USD,192600,192600,Senior,Full-time,Remote,United States,M
2022,Data Architect,Data Architecture and Modeling,USD,266400,266400,Senior,Full-time,Remote,United States,M
2022,Data Architect,Data Architecture and Modeling,USD,213120,213120,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,155000,155000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,115000,115000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,141300,141300,Mid-level,Full-time,In-person,United States,M
2022,Data Scientist,Data Science and Research,USD,102100,102100,Mid-level,Full-time,In-person,United States,M
2022,Data Analyst,Data Analysis,USD,115934,115934,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,81666,81666,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,206699,206699,Mid-level,Full-time,In-person,United States,M
2022,Data Engineer,Data Engineering,USD,99100,99100,Mid-level,Full-time,In-person,United States,M
2022,Data Engineer,Data Engineering,USD,130000,130000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,110500,110500,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,GBP,50000,61566,Mid-level,Full-time,In-person,United Kingdom,M
2022,Data Analyst,Data Analysis,GBP,35000,43096,Mid-level,Full-time,In-person,United Kingdom,M
2022,Data Analyst,Data Analysis,USD,80000,80000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,60000,60000,Senior,Full-time,Remote,United States,M
2022,Data Architect,Data Architecture and Modeling,USD,192564,192564,Senior,Full-time,Remote,United States,M
2022,Data Architect,Data Architecture and Modeling,USD,144854,144854,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,230000,230000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,150000,150000,Senior,Full-time,Remote,United States,M
2022,Data Analytics Manager,Leadership and Management,USD,150260,150260,Senior,Full-time,Remote,United States,M
2022,Data Analytics Manager,Leadership and Management,USD,109280,109280,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,170000,170000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,150000,150000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,160000,160000,Mid-level,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,130000,130000,Mid-level,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,67000,67000,Entry-level,Full-time,In-person,Canada,M
2022,Data Analyst,Data Analysis,USD,52000,52000,Entry-level,Full-time,In-person,Canada,M
2022,Data Engineer,Data Engineering,USD,154000,154000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,126000,126000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,129000,129000,Senior,Full-time,In-person,United States,M
2022,Data Analyst,Data Analysis,USD,99000,99000,Senior,Full-time,In-person,United States,M
2022,Data Scientist,Data Science and Research,USD,210000,210000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,140000,140000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,210000,210000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,140000,140000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,210000,210000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,140000,140000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,100000,100000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,69000,69000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,210000,210000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,140000,140000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,150075,150075,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,110925,110925,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,100000,100000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,25000,25000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,126500,126500,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,106260,106260,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,220110,220110,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,160080,160080,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,105000,105000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,100000,100000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,170000,170000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,135000,135000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,230000,230000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,140000,140000,Senior,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,135000,135000,Mid-level,Full-time,Remote,United States,M
2022,Data Analyst,Data Analysis,USD,50000,50000,Mid-level,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,220000,220000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,140000,140000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,GBP,140000,172386,Mid-level,Full-time,In-person,United Kingdom,M
2022,Data Scientist,Data Science and Research,GBP,70000,86193,Mid-level,Full-time,In-person,United Kingdom,M
2022,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000,Senior,Full-time,Remote,United States,M
2022,Machine Learning Engineer,Machine Learning and AI,USD,120000,120000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,200000,200000,Mid-level,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,120000,120000,Mid-level,Full-time,Remote,United States,M
2022,Machine Learning Engineer,Machine Learning and AI,USD,120000,120000,Senior,Full-time,Remote,United Arab Emirates,S
2022,Machine Learning Engineer,Machine Learning and AI,USD,65000,65000,Senior,Full-time,Remote,United Arab Emirates,S
2022,Data Engineer,Data Engineering,USD,324000,324000,Executive,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,216000,216000,Executive,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,210000,210000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,100000,100000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,185100,185100,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,104890,104890,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,105000,105000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,80000,80000,Senior,Full-time,Remote,United States,M
2022,Machine Learning Developer,Machine Learning and AI,CAD,100000,76814,Mid-level,Full-time,Remote,Canada,M
2020,Machine Learning Manager,Machine Learning and AI,CAD,157000,117104,Senior,Full-time,Hybrid,Canada,L
2022,Director of Data Science,Data Science and Research,CAD,250000,192037,Executive,Full-time,Hybrid,Canada,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,120000,120000,Mid-level,Full-time,Remote,United States,S
2022,Machine Learning Infrastructure Engineer,Machine Learning and AI,EUR,53000,55685,Mid-level,Full-time,Hybrid,Portugal,L
2022,Data Engineer,Data Engineering,EUR,50000,52533,Mid-level,Part-time,Hybrid,Germany,L
2022,Applied Machine Learning Scientist,Machine Learning and AI,USD,75000,75000,Mid-level,Full-time,Remote,United States,L
2022,Applied Data Scientist,Data Science and Research,USD,157000,157000,Mid-level,Full-time,Remote,United States,L
2022,Business Data Analyst,Data Analysis,CAD,90000,69133,Mid-level,Full-time,Hybrid,Canada,L
2022,Data Engineer,Data Engineering,USD,65000,65000,Entry-level,Full-time,Remote,United States,S
2022,Machine Learning Engineer,Machine Learning and AI,EUR,65000,68293,Senior,Full-time,Remote,Ireland,S
2021,Data Scientist,Data Science and Research,USD,109000,109000,Mid-level,Full-time,Hybrid,United States,L
2022,Data Scientist,Data Science and Research,CAD,88000,67597,Mid-level,Full-time,Remote,Canada,M
2022,Data Analyst,Data Analysis,USD,20000,20000,Mid-level,Full-time,Remote,Greece,S
2021,Head of Data,Leadership and Management,EUR,87000,102839,Senior,Full-time,Remote,Slovenia,L
2022,Head of Data,Leadership and Management,USD,200000,200000,Senior,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,CAD,66500,51081,Entry-level,Full-time,Remote,Canada,L
2022,Data Scientist,Data Science and Research,USD,78000,78000,Mid-level,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,135000,135000,Senior,Full-time,Remote,United States,M
2022,Data Engineer,Data Engineering,USD,115000,115000,Senior,Full-time,Remote,United States,M
2022,Machine Learning Engineer,Machine Learning and AI,AUD,121000,83864,Mid-level,Full-time,Remote,Australia,L
2022,Data Scientist,Data Science and Research,USD,40000,40000,Entry-level,Full-time,Remote,Malaysia,L
2022,Head of Data,Leadership and Management,EUR,30000,31520,Mid-level,Full-time,Remote,Estonia,S
2022,Machine Learning Engineer,Machine Learning and AI,EUR,57000,59888,Senior,Full-time,Remote,Netherlands,L
2020,Data Engineer,Data Engineering,EUR,48000,54742,Entry-level,Full-time,Remote,Germany,L
2022,Research Scientist,Data Science and Research,EUR,85000,89306,Senior,Full-time,Hybrid,France,L
2022,Data Scientist,Data Science and Research,AUD,120000,83171,Entry-level,Full-time,Hybrid,Australia,M
2022,Data Scientist,Data Science and Research,USD,165000,165000,Senior,Full-time,Remote,United States,M
2022,Machine Learning Scientist,Machine Learning and AI,USD,153000,153000,Mid-level,Full-time,Hybrid,United States,M
2022,Data Scientist,Data Science and Research,USD,100000,100000,Senior,Full-time,Remote,United States,M
2022,Machine Learning Developer,Machine Learning and AI,CAD,100000,76814,Senior,Full-time,Remote,Canada,M
2022,Data Scientist,Data Science and Research,PLN,150000,33609,Mid-level,Full-time,Remote,Poland,L
2022,Principal Data Analyst,Data Analysis,USD,75000,75000,Mid-level,Full-time,Remote,Canada,S
2020,Product Data Analyst,Data Analysis,USD,20000,20000,Mid-level,Full-time,In-person,Honduras,S
2022,Applied Machine Learning Scientist,Machine Learning and AI,EUR,29000,30469,Entry-level,Contract,Remote,Czech Republic,M
2021,Research Scientist,Data Science and Research,USD,69999,69999,Mid-level,Full-time,Hybrid,Czech Republic,L
2022,Data Engineer,Data Engineering,EUR,52800,55475,Entry-level,Full-time,Remote,Germany,M
2022,Research Scientist,Data Science and Research,EUR,59000,61989,Mid-level,Full-time,In-person,Austria,L
2022,Data Science Manager,Data Science and Research,USD,152500,152500,Senior,Full-time,Remote,United States,M
2022,Research Scientist,Data Science and Research,USD,120000,120000,Entry-level,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,135000,135000,Mid-level,Full-time,Remote,United States,L
2022,Data Analytics Lead,Leadership and Management,USD,405000,405000,Senior,Full-time,Remote,United States,L
2021,Data Engineer,Data Engineering,USD,150000,150000,Senior,Full-time,In-person,United States,L
2021,Data Science Manager,Data Science and Research,USD,240000,240000,Senior,Full-time,In-person,United States,L
2021,Data Analyst,Data Analysis,USD,135000,135000,Mid-level,Full-time,Remote,United States,L
2021,Data Scientist,Data Science and Research,USD,80000,80000,Entry-level,Full-time,Remote,United States,M
2022,Applied Data Scientist,Data Science and Research,USD,380000,380000,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,CHF,115000,120402,Mid-level,Full-time,In-person,Switzerland,L
2022,Applied Data Scientist,Data Science and Research,USD,177000,177000,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,EUR,62000,65141,Mid-level,Full-time,Remote,France,M
2022,Data Scientist,Data Science and Research,USD,48000,48000,Mid-level,Full-time,Remote,United States,S
2022,Data Analytics Engineer,Leadership and Management,USD,20000,20000,Entry-level,Full-time,In-person,Pakistan,M
2021,Principal Data Scientist,Data Science and Research,USD,220000,220000,Senior,Full-time,In-person,United States,L
2022,Computer Vision Software Engineer,Machine Learning and AI,USD,150000,150000,Entry-level,Full-time,Remote,Australia,S
2021,Data Analyst,Data Analysis,USD,90000,90000,Mid-level,Full-time,Remote,United States,M
2022,Data Scientist,Data Science and Research,USD,100000,100000,Mid-level,Freelance,Remote,United States,M
2021,Data Scientist,Data Science and Research,USD,100000,100000,Entry-level,Full-time,In-person,United States,S
2022,Data Scientist,Data Science and Research,USD,100000,100000,Entry-level,Part-time,Hybrid,Algeria,M
2022,Research Scientist,Data Science and Research,USD,144000,144000,Senior,Full-time,Hybrid,United States,L
2022,Principal Data Scientist,Data Science and Research,EUR,148000,155499,Senior,Full-time,Remote,Germany,M
2021,Computer Vision Engineer,Machine Learning and AI,USD,24000,24000,Senior,Full-time,Remote,Brazil,M
2021,Applied Machine Learning Scientist,Machine Learning and AI,USD,38400,38400,Mid-level,Full-time,Remote,United States,M
2022,Financial Data Analyst,Data Analysis,USD,100000,100000,Entry-level,Full-time,Hybrid,United States,L
2021,Data Scientist,Data Science and Research,USD,82500,82500,Mid-level,Full-time,Remote,United States,S
2021,Data Scientist,Data Science and Research,EUR,42000,49646,Entry-level,Full-time,Hybrid,France,M
2022,Data Engineer,Data Engineering,USD,120000,120000,Entry-level,Full-time,Remote,United States,M
2022,Lead Machine Learning Engineer,Machine Learning and AI,EUR,80000,84053,Senior,Full-time,In-person,Germany,M
2021,Machine Learning Engineer,Machine Learning and AI,USD,20000,20000,Entry-level,Full-time,Remote,India,S
2022,Computer Vision Engineer,Machine Learning and AI,USD,125000,125000,Entry-level,Full-time,In-person,United States,M
2021,Machine Learning Scientist,Machine Learning and AI,USD,120000,120000,Senior,Full-time,Hybrid,United States,S
2021,Applied Data Scientist,Data Science and Research,GBP,80000,110037,Entry-level,Full-time,In-person,United Kingdom,L
2022,ML Engineer,Machine Learning and AI,EUR,20000,21013,Entry-level,Full-time,Remote,Portugal,L
2021,Data Analyst,Data Analysis,USD,50000,50000,Entry-level,Full-time,Remote,United States,M
2021,Principal Data Engineer,Data Engineering,USD,200000,200000,Senior,Full-time,Remote,United States,M
2021,Big Data Engineer,Data Engineering,USD,60000,60000,Mid-level,Full-time,Hybrid,Romania,M
2021,Data Engineer,Data Engineering,USD,200000,200000,Mid-level,Full-time,Remote,United States,L
2021,Machine Learning Developer,Machine Learning and AI,USD,100000,100000,Entry-level,Full-time,Hybrid,Iraq,S
2021,Data Engineer,Data Engineering,USD,100000,100000,Mid-level,Full-time,Remote,United States,L
2021,Machine Learning Engineer,Machine Learning and AI,EUR,70000,82744,Senior,Full-time,Hybrid,Belgium,M
2020,Data Engineer,Data Engineering,EUR,51999,59303,Mid-level,Full-time,Remote,Germany,S
2021,Research Scientist,Data Science and Research,EUR,53000,62649,Mid-level,Full-time,Hybrid,France,M
2021,Data Engineer,Data Engineering,GBP,60000,82528,Mid-level,Full-time,Remote,United Kingdom,L
2021,Data Architect,Data Architecture and Modeling,USD,170000,170000,Mid-level,Full-time,Remote,United States,L
2021,Data Architect,Data Architecture and Modeling,USD,150000,150000,Mid-level,Full-time,Remote,United States,L
2021,BI Data Analyst,Data Analysis,USD,55000,55000,Entry-level,Full-time,Hybrid,United States,S
2021,Director of Data Science,Data Science and Research,USD,250000,250000,Executive,Full-time,In-person,United States,L
2021,Data Engineer,Data Engineering,USD,80000,80000,Entry-level,Full-time,Remote,United States,L
2020,Big Data Engineer,Data Engineering,USD,70000,70000,Entry-level,Full-time,Remote,United States,L
2021,Director of Data Science,Data Science and Research,EUR,110000,130026,Executive,Full-time,Hybrid,Germany,M
2021,Data Science Consultant,Data Science and Research,EUR,54000,63831,Entry-level,Full-time,Hybrid,Germany,L
2020,Data Scientist,Data Science and Research,EUR,60000,68428,Senior,Full-time,Remote,United States,L
2021,Head of Data Science,Data Science and Research,USD,85000,85000,Executive,Full-time,In-person,Russia,M
2021,Head of Data,Leadership and Management,USD,230000,230000,Executive,Full-time,Hybrid,Russia,L
2021,Machine Learning Engineer,Machine Learning and AI,USD,125000,125000,Entry-level,Full-time,Remote,United States,S
2021,Data Analytics Manager,Leadership and Management,USD,120000,120000,Senior,Full-time,Remote,United States,M
2020,Research Scientist,Data Science and Research,USD,450000,450000,Mid-level,Full-time,In-person,United States,M
2020,Data Analyst,Data Analysis,EUR,41000,46759,Mid-level,Full-time,Hybrid,France,L
2020,Data Engineer,Data Engineering,EUR,65000,74130,Mid-level,Full-time,Hybrid,Austria,L
2021,Data Science Engineer,Data Science and Research,CAD,159500,127221,Senior,Full-time,Hybrid,Canada,L
2021,Data Science Manager,Data Science and Research,USD,144000,144000,Senior,Full-time,Remote,United States,L
2021,Data Scientist,Data Science and Research,CAD,95000,75774,Mid-level,Full-time,Remote,Canada,L
2021,Data Scientist,Data Science and Research,USD,150000,150000,Mid-level,Full-time,Remote,United States,M
2020,Data Science Consultant,Data Science and Research,USD,103000,103000,Mid-level,Full-time,Remote,United States,L
2021,Data Engineer,Data Engineering,USD,153000,153000,Senior,Full-time,Remote,United States,L
2021,Data Engineer,Data Engineering,USD,90000,90000,Mid-level,Full-time,Remote,United States,L
2021,Data Analyst,Data Analysis,USD,90000,90000,Entry-level,Full-time,Remote,United States,S
2021,Data Analyst,Data Analysis,USD,60000,60000,Entry-level,Full-time,Remote,United States,S
2021,Data Scientist,Data Science and Research,USD,50000,50000,Mid-level,Full-time,Remote,Nigeria,L
2021,ML Engineer,Machine Learning and AI,USD,270000,270000,Mid-level,Contract,Remote,United States,L
